hpRemaining
BEST;controllers.PathfindingController;39.6
WORST;controllers.RandomController;7.0
monstersKilled
BEST;controllers.RandomController;4.5
WORST;controllers.PathfindingController;1.0
treasuresCollected
BEST;controllers.RandomController;2.8
BEST;controllers.RoombaController;2.8
WORST;controllers.PathfindingController;1.0
potionsDrunk
BEST;controllers.ZombieController;1.2
WORST;controllers.RoombaController;0.0
actionsTaken
BEST;controllers.ZombieController;289.3
WORST;controllers.PathfindingController;15.0
tilesExplored
BEST;controllers.ZombieController;41.1
WORST;controllers.PathfindingController;16.0
---------------------------------------
timesCompleted
controllers.RandomController;3.0
controllers.ZombieController;1.0
controllers.RoombaController;4.0
controllers.PathfindingController;10.0
controllers.MCTSController;10.0
controllers.QLearningController;5.0
timesDied
controllers.RandomController;7.0
controllers.ZombieController;0.0
controllers.RoombaController;2.0
controllers.PathfindingController;0.0
controllers.MCTSController;0.0
controllers.QLearningController;3.0
timesUncompleted
controllers.RandomController;0.0
controllers.ZombieController;9.0
controllers.RoombaController;4.0
controllers.PathfindingController;0.0
controllers.MCTSController;0.0
controllers.QLearningController;2.0
---------------------------------------
hpRemaining
controllers.RandomController;0.0;20.0;0.0;0.0;0.0;33.0;0.0;0.0;17.0;0.0
controllers.ZombieController;36.0;40.0;29.0;35.0;28.0;19.0;23.0;15.0;23.0;25.0
controllers.RoombaController;10.0;16.0;5.0;0.0;29.0;15.0;28.0;24.0;32.0;0.0
controllers.PathfindingController;40.0;40.0;40.0;36.0;40.0;40.0;40.0;40.0;40.0;40.0
controllers.MCTSController;26.0;34.0;40.0;36.0;40.0;29.0;35.0;24.0;40.0;40.0
controllers.QLearningController;0.0;20.0;27.0;19.0;13.0;19.0;16.0;0.0;0.0;9.0
monstersKilled
controllers.RandomController;5.0;4.0;4.0;4.0;4.0;4.0;5.0;6.0;4.0;5.0
controllers.ZombieController;2.0;2.0;1.0;2.0;3.0;3.0;4.0;3.0;2.0;2.0
controllers.RoombaController;3.0;4.0;4.0;3.0;1.0;3.0;1.0;2.0;1.0;5.0
controllers.PathfindingController;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
controllers.MCTSController;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0
controllers.QLearningController;5.0;4.0;4.0;3.0;3.0;3.0;5.0;4.0;5.0;3.0
treasuresCollected
controllers.RandomController;3.0;3.0;4.0;2.0;3.0;2.0;4.0;3.0;1.0;3.0
controllers.ZombieController;2.0;3.0;3.0;1.0;4.0;4.0;1.0;3.0;3.0;3.0
controllers.RoombaController;3.0;4.0;3.0;3.0;2.0;3.0;2.0;2.0;2.0;4.0
controllers.PathfindingController;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
controllers.MCTSController;2.0;3.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0
controllers.QLearningController;4.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;4.0;2.0
potionsDrunk
controllers.RandomController;0.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0
controllers.ZombieController;2.0;2.0;0.0;2.0;2.0;1.0;2.0;1.0;0.0;0.0
controllers.RoombaController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.PathfindingController;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
controllers.MCTSController;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0
controllers.QLearningController;1.0;1.0;2.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0
actionsTaken
controllers.RandomController;81.0;35.0;111.0;69.0;151.0;39.0;106.0;49.0;59.0;99.0
controllers.ZombieController;300.0;300.0;300.0;300.0;300.0;300.0;193.0;300.0;300.0;300.0
controllers.RoombaController;205.0;300.0;69.0;243.0;300.0;257.0;300.0;21.0;300.0;125.0
controllers.PathfindingController;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0
controllers.MCTSController;49.0;31.0;27.0;57.0;31.0;29.0;33.0;37.0;25.0;43.0
controllers.QLearningController;283.0;151.0;245.0;147.0;300.0;300.0;163.0;219.0;129.0;159.0
tilesExplored
controllers.RandomController;38.0;34.0;41.0;39.0;51.0;31.0;44.0;35.0;40.0;42.0
controllers.ZombieController;38.0;44.0;28.0;37.0;45.0;54.0;42.0;51.0;29.0;43.0
controllers.RoombaController;33.0;31.0;33.0;29.0;21.0;33.0;20.0;21.0;21.0;42.0
controllers.PathfindingController;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0
controllers.MCTSController;21.0;21.0;20.0;21.0;19.0;20.0;26.0;24.0;20.0;23.0
controllers.QLearningController;48.0;30.0;43.0;34.0;29.0;45.0;43.0;29.0;27.0;33.0
---------------------------------------

