hpRemaining: 13.0 (8.628119403696523)
monstersKilled: 4.4 (0.5163977794943222)
treasuresCollected: 2.1 (0.5676462121975467)
potionsDrunk: 1.8 (0.42163702135578396)
actionsTaken: 276.1 (33.97204733306487)
tilesExplored: 36.0 (4.163331998932265)
timesCompleted: 2
timesDied: 2
timesUncompleted: 6

hpRemaining;19.0;0.0;11.0;26.0;8.0;14.0;13.0;17.0;22.0;0.0;
monstersKilled;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;5.0;
treasuresCollected;2.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;3.0;
potionsDrunk;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;
actionsTaken;244.0;209.0;239.0;300.0;300.0;300.0;300.0;300.0;300.0;269.0;
tilesExplored;39.0;39.0;33.0;34.0;37.0;35.0;44.0;37.0;29.0;33.0;

