hpRemaining: 27.9 (10.535126429658492)
monstersKilled: 2.8 (0.6324555320336759)
treasuresCollected: 1.8 (0.7888106377466155)
potionsDrunk: 1.4 (0.6992058987801011)
actionsTaken: 297.3 (8.538149682454625)
tilesExplored: 27.5 (7.5314156851300025)
timesCompleted: 0
timesDied: 1
timesUncompleted: 9

hpRemaining;35.0;29.0;26.0;26.0;30.0;32.0;38.0;29.0;0.0;34.0;
monstersKilled;3.0;3.0;3.0;3.0;2.0;3.0;2.0;3.0;4.0;2.0;
treasuresCollected;2.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;3.0;2.0;
potionsDrunk;2.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;0.0;1.0;
actionsTaken;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;273.0;300.0;
tilesExplored;31.0;27.0;14.0;32.0;14.0;32.0;33.0;27.0;35.0;30.0;

