hpRemaining: 25.3 (4.854551129266914)
monstersKilled: 2.4 (0.6992058987801011)
treasuresCollected: 3.8 (0.4216370213557839)
potionsDrunk: 0.9 (0.31622776601683794)
actionsTaken: 133.2 (74.60831052905567)
tilesExplored: 43.2 (3.675746333890726)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;30.0;28.0;27.0;23.0;29.0;23.0;26.0;23.0;14.0;30.0;
monstersKilled;2.0;2.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;1.0;
treasuresCollected;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;
potionsDrunk;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;
actionsTaken;142.0;272.0;124.0;76.0;184.0;54.0;70.0;110.0;232.0;68.0;
tilesExplored;42.0;46.0;47.0;42.0;44.0;40.0;40.0;49.0;45.0;37.0;

