hpRemaining
BEST;controllers.MCTSController;27.9
WORST;controllers.RandomController;6.1
monstersKilled
BEST;controllers.RandomController;5.4
WORST;controllers.PathfindingController;2.0
WORST;controllers.MCTSController;2.0
treasuresCollected
BEST;controllers.RandomController;3.5
WORST;controllers.PathfindingController;0.0
potionsDrunk
BEST;controllers.QLearningController;1.5
WORST;controllers.PathfindingController;0.0
actionsTaken
BEST;controllers.ZombieController;274.4
WORST;controllers.PathfindingController;22.0
tilesExplored
BEST;controllers.RandomController;51.3
WORST;controllers.PathfindingController;23.0
---------------------------------------
timesCompleted
controllers.RandomController;4.0
controllers.ZombieController;1.0
controllers.RoombaController;5.0
controllers.PathfindingController;10.0
controllers.MCTSController;9.0
controllers.QLearningController;1.0
timesDied
controllers.RandomController;6.0
controllers.ZombieController;2.0
controllers.RoombaController;5.0
controllers.PathfindingController;0.0
controllers.MCTSController;0.0
controllers.QLearningController;1.0
timesUncompleted
controllers.RandomController;0.0
controllers.ZombieController;7.0
controllers.RoombaController;0.0
controllers.PathfindingController;0.0
controllers.MCTSController;1.0
controllers.QLearningController;8.0
---------------------------------------
hpRemaining
controllers.RandomController;0.0;2.0;19.0;0.0;6.0;0.0;0.0;0.0;0.0;34.0
controllers.ZombieController;40.0;24.0;16.0;0.0;34.0;27.0;18.0;6.0;0.0;15.0
controllers.RoombaController;9.0;0.0;26.0;0.0;25.0;18.0;0.0;10.0;0.0;0.0
controllers.PathfindingController;23.0;27.0;18.0;19.0;27.0;27.0;26.0;18.0;24.0;23.0
controllers.MCTSController;40.0;33.0;29.0;15.0;14.0;33.0;35.0;23.0;23.0;34.0
controllers.QLearningController;5.0;0.0;2.0;18.0;31.0;24.0;36.0;10.0;34.0;36.0
monstersKilled
controllers.RandomController;6.0;7.0;4.0;5.0;7.0;4.0;6.0;7.0;6.0;2.0
controllers.ZombieController;2.0;3.0;3.0;4.0;2.0;3.0;3.0;5.0;4.0;4.0
controllers.RoombaController;4.0;4.0;3.0;5.0;3.0;3.0;5.0;5.0;6.0;6.0
controllers.PathfindingController;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
controllers.MCTSController;1.0;1.0;3.0;3.0;3.0;1.0;1.0;3.0;3.0;1.0
controllers.QLearningController;4.0;6.0;6.0;3.0;4.0;4.0;4.0;3.0;2.0;3.0
treasuresCollected
controllers.RandomController;4.0;4.0;4.0;5.0;6.0;1.0;4.0;4.0;1.0;2.0
controllers.ZombieController;2.0;3.0;1.0;1.0;2.0;2.0;2.0;5.0;2.0;3.0
controllers.RoombaController;4.0;3.0;4.0;3.0;4.0;3.0;2.0;3.0;2.0;2.0
controllers.PathfindingController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.MCTSController;1.0;2.0;3.0;4.0;4.0;2.0;2.0;4.0;4.0;1.0
controllers.QLearningController;3.0;2.0;3.0;2.0;2.0;5.0;4.0;2.0;1.0;2.0
potionsDrunk
controllers.RandomController;2.0;3.0;1.0;0.0;2.0;0.0;1.0;2.0;1.0;1.0
controllers.ZombieController;2.0;1.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;1.0
controllers.RoombaController;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0
controllers.PathfindingController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.MCTSController;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
controllers.QLearningController;0.0;1.0;2.0;1.0;2.0;2.0;3.0;0.0;2.0;2.0
actionsTaken
controllers.RandomController;192.0;206.0;56.0;75.0;244.0;63.0;123.0;140.0;153.0;64.0
controllers.ZombieController;300.0;300.0;300.0;199.0;300.0;300.0;300.0;300.0;255.0;190.0
controllers.RoombaController;90.0;43.0;224.0;43.0;78.0;134.0;125.0;208.0;65.0;53.0
controllers.PathfindingController;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0
controllers.MCTSController;300.0;42.0;92.0;32.0;50.0;38.0;36.0;176.0;54.0;40.0
controllers.QLearningController;300.0;223.0;300.0;300.0;300.0;300.0;300.0;72.0;300.0;300.0
tilesExplored
controllers.RandomController;55.0;70.0;41.0;47.0;70.0;33.0;53.0;61.0;41.0;42.0
controllers.ZombieController;23.0;35.0;30.0;27.0;32.0;26.0;29.0;52.0;34.0;45.0
controllers.RoombaController;35.0;21.0;38.0;28.0;35.0;36.0;36.0;43.0;36.0;35.0
controllers.PathfindingController;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0
controllers.MCTSController;20.0;31.0;35.0;29.0;28.0;27.0;26.0;36.0;34.0;30.0
controllers.QLearningController;54.0;47.0;55.0;31.0;37.0;52.0;48.0;37.0;21.0;27.0
---------------------------------------

