hpRemaining
BEST;controllers.RoombaController;35.4
WORST;controllers.PathfindingController;23.7
monstersKilled
BEST;controllers.RandomController;3.5
WORST;controllers.RoombaController;1.1
treasuresCollected
BEST;controllers.MCTSController;3.8
WORST;controllers.PathfindingController;0.0
potionsDrunk
BEST;controllers.RandomController;1.7
WORST;controllers.PathfindingController;0.0
actionsTaken
BEST;controllers.ZombieController;300.0
WORST;controllers.PathfindingController;14.0
tilesExplored
BEST;controllers.RandomController;44.2
WORST;controllers.PathfindingController;15.0
---------------------------------------
timesCompleted
controllers.RandomController;7.0
controllers.ZombieController;0.0
controllers.RoombaController;2.0
controllers.PathfindingController;10.0
controllers.MCTSController;10.0
controllers.QLearningController;3.0
timesDied
controllers.RandomController;1.0
controllers.ZombieController;0.0
controllers.RoombaController;0.0
controllers.PathfindingController;0.0
controllers.MCTSController;0.0
controllers.QLearningController;1.0
timesUncompleted
controllers.RandomController;2.0
controllers.ZombieController;10.0
controllers.RoombaController;8.0
controllers.PathfindingController;0.0
controllers.MCTSController;0.0
controllers.QLearningController;6.0
---------------------------------------
hpRemaining
controllers.RandomController;35.0;0.0;18.0;17.0;21.0;37.0;26.0;27.0;27.0;38.0
controllers.ZombieController;38.0;27.0;40.0;17.0;16.0;39.0;40.0;33.0;7.0;37.0
controllers.RoombaController;38.0;40.0;36.0;40.0;39.0;29.0;40.0;40.0;36.0;16.0
controllers.PathfindingController;13.0;27.0;22.0;24.0;24.0;27.0;26.0;27.0;24.0;23.0
controllers.MCTSController;13.0;27.0;22.0;24.0;40.0;27.0;26.0;27.0;24.0;23.0
controllers.QLearningController;13.0;40.0;36.0;40.0;27.0;27.0;17.0;0.0;26.0;19.0
monstersKilled
controllers.RandomController;3.0;7.0;3.0;5.0;4.0;1.0;4.0;3.0;4.0;1.0
controllers.ZombieController;1.0;2.0;1.0;3.0;3.0;1.0;1.0;2.0;3.0;2.0
controllers.RoombaController;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0
controllers.PathfindingController;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
controllers.MCTSController;2.0;2.0;2.0;3.0;0.0;2.0;2.0;2.0;2.0;2.0
controllers.QLearningController;2.0;1.0;1.0;1.0;2.0;2.0;3.0;5.0;1.0;3.0
treasuresCollected
controllers.RandomController;2.0;6.0;3.0;2.0;4.0;2.0;5.0;3.0;2.0;2.0
controllers.ZombieController;2.0;1.0;3.0;4.0;2.0;4.0;2.0;3.0;3.0;3.0
controllers.RoombaController;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0
controllers.PathfindingController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.MCTSController;4.0;4.0;4.0;5.0;1.0;4.0;4.0;4.0;4.0;4.0
controllers.QLearningController;2.0;2.0;2.0;2.0;4.0;2.0;2.0;5.0;2.0;4.0
potionsDrunk
controllers.RandomController;3.0;1.0;1.0;3.0;2.0;1.0;2.0;1.0;2.0;1.0
controllers.ZombieController;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
controllers.RoombaController;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0
controllers.PathfindingController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.MCTSController;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.QLearningController;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0
actionsTaken
controllers.RandomController;98.0;161.0;110.0;178.0;300.0;82.0;300.0;50.0;146.0;120.0
controllers.ZombieController;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0
controllers.RoombaController;300.0;300.0;300.0;300.0;300.0;36.0;300.0;300.0;300.0;68.0
controllers.PathfindingController;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0
controllers.MCTSController;70.0;32.0;66.0;120.0;24.0;68.0;28.0;36.0;46.0;30.0
controllers.QLearningController;50.0;300.0;300.0;300.0;300.0;94.0;254.0;299.0;300.0;300.0
tilesExplored
controllers.RandomController;49.0;62.0;30.0;52.0;54.0;31.0;54.0;33.0;46.0;31.0
controllers.ZombieController;19.0;25.0;39.0;42.0;34.0;35.0;31.0;46.0;34.0;38.0
controllers.RoombaController;16.0;15.0;17.0;16.0;15.0;23.0;13.0;15.0;17.0;27.0
controllers.PathfindingController;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0
controllers.MCTSController;21.0;21.0;20.0;37.0;21.0;20.0;19.0;22.0;21.0;20.0
controllers.QLearningController;20.0;24.0;31.0;20.0;38.0;26.0;34.0;52.0;24.0;42.0
---------------------------------------

