hpRemaining: 21.7 (6.532823109328598)
monstersKilled: 3.4 (0.5163977794943223)
treasuresCollected: 4.1 (0.5676462121975466)
potionsDrunk: 1.3 (0.48304589153964794)
actionsTaken: 87.4 (30.332234412328486)
tilesExplored: 44.1 (5.3218626647276635)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;23.0;31.0;22.0;15.0;23.0;16.0;13.0;28.0;30.0;16.0;
monstersKilled;3.0;3.0;4.0;3.0;4.0;3.0;3.0;3.0;4.0;4.0;
treasuresCollected;3.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;
potionsDrunk;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;
actionsTaken;58.0;92.0;102.0;62.0;162.0;66.0;70.0;76.0;90.0;96.0;
tilesExplored;39.0;44.0;57.0;41.0;47.0;41.0;41.0;40.0;44.0;47.0;

