hpRemaining: 19.8 (14.6424041741785)
monstersKilled: 3.4 (1.07496769977314)
treasuresCollected: 1.0 (0.816496580927726)
potionsDrunk: 1.2 (0.7888106377466155)
actionsTaken: 211.5 (78.4789426817439)
tilesExplored: 40.8 (6.844300142778985)
timesCompleted: 5
timesDied: 3
timesUncompleted: 2

hpRemaining;34.0;0.0;0.0;0.0;29.0;17.0;32.0;34.0;30.0;22.0;
monstersKilled;3.0;4.0;4.0;5.0;3.0;3.0;2.0;3.0;2.0;5.0;
treasuresCollected;1.0;0.0;2.0;1.0;0.0;1.0;1.0;2.0;0.0;2.0;
potionsDrunk;2.0;0.0;0.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;
actionsTaken;300.0;262.0;222.0;266.0;141.0;300.0;125.0;241.0;69.0;189.0;
tilesExplored;53.0;41.0;39.0;42.0;33.0;47.0;41.0;41.0;28.0;43.0;

