hpRemaining: 21.5 (4.503085362035432)
monstersKilled: 2.0 (0.0)
treasuresCollected: 0.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 14.0 (0.0)
tilesExplored: 15.0 (0.0)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;15.0;26.0;23.0;26.0;17.0;20.0;19.0;22.0;18.0;29.0;
monstersKilled;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
treasuresCollected;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;
tilesExplored;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;

